epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.224,1.63186,2.56501,1.49931,0.76465,0.03333,0.26382,0.14242,1.60209,3.045,1.42275,0.00058,0.00058,0.00058
2,163.438,1.56968,1.99135,1.4441,0.43545,0.27879,0.2642,0.13312,1.76457,2.66103,1.74829,0.00115664,0.00115664,0.00115664
3,241.792,1.55792,1.83337,1.44076,0.03564,0.37879,0.0235,0.01049,1.82618,4.69155,1.84646,0.00170951,0.00170951,0.00170951
4,319.723,1.61265,1.82503,1.50722,0.10046,0.46061,0.11505,0.04503,1.91563,6.82877,2.03927,0.0018812,0.0018812,0.0018812
5,397.819,1.54189,1.68166,1.43478,0.34618,0.27879,0.24556,0.10955,1.78918,2.69363,1.8038,0.0018416,0.0018416,0.0018416
6,476.262,1.53125,1.63002,1.4127,0.50957,0.42424,0.42588,0.20343,1.79356,2.1568,1.7655,0.001802,0.001802,0.001802
7,553.712,1.54224,1.62305,1.44043,0.58748,0.51818,0.53536,0.26628,1.77004,1.97056,1.6332,0.0017624,0.0017624,0.0017624
8,631.855,1.478,1.52017,1.3884,0.59998,0.55905,0.56746,0.29469,1.54872,2.29216,1.48639,0.0017228,0.0017228,0.0017228
9,710.514,1.47097,1.42184,1.37017,0.57765,0.58485,0.60001,0.31449,1.55663,1.70037,1.5341,0.0016832,0.0016832,0.0016832
10,794.754,1.50878,1.46609,1.4085,0.57551,0.4889,0.50282,0.2762,1.57829,1.98075,1.56731,0.0016436,0.0016436,0.0016436
11,873.757,1.43082,1.47513,1.34957,0.69386,0.57879,0.63831,0.35629,1.50208,1.5571,1.42523,0.001604,0.001604,0.001604
12,957.005,1.41631,1.32319,1.34022,0.7379,0.58788,0.67632,0.37235,1.51203,1.43735,1.43622,0.0015644,0.0015644,0.0015644
13,1035.59,1.42402,1.29242,1.36703,0.72509,0.59944,0.66693,0.38095,1.49135,1.49584,1.48057,0.0015248,0.0015248,0.0015248
14,1114.34,1.43079,1.33047,1.35407,0.71533,0.6303,0.69601,0.38836,1.47655,1.38275,1.42362,0.0014852,0.0014852,0.0014852
15,1192.97,1.34947,1.27232,1.30282,0.65096,0.61212,0.66448,0.37222,1.51191,1.40733,1.43346,0.0014456,0.0014456,0.0014456
16,1272.51,1.34559,1.2445,1.31075,0.74895,0.55455,0.67177,0.37269,1.4942,1.5486,1.45035,0.001406,0.001406,0.001406
17,1350.72,1.35425,1.23486,1.32323,0.75897,0.59091,0.66928,0.3815,1.45463,1.37319,1.40236,0.0013664,0.0013664,0.0013664
18,1429.97,1.38308,1.26547,1.30263,0.72308,0.59394,0.6478,0.38189,1.45015,1.43227,1.4245,0.0013268,0.0013268,0.0013268
19,1508.17,1.29009,1.16272,1.26918,0.72446,0.62727,0.69434,0.41477,1.39118,1.25866,1.39351,0.0012872,0.0012872,0.0012872
20,1587.54,1.30104,1.14213,1.28853,0.71301,0.64848,0.71205,0.41858,1.36632,1.28155,1.38059,0.0012476,0.0012476,0.0012476
21,1666.08,1.30103,1.09295,1.26265,0.70061,0.59697,0.67404,0.39167,1.45697,1.3426,1.42223,0.001208,0.001208,0.001208
22,1745.15,1.26663,1.10321,1.24431,0.75061,0.6303,0.70963,0.40798,1.42873,1.3213,1.40834,0.0011684,0.0011684,0.0011684
23,1823.48,1.28347,1.09004,1.27678,0.81087,0.59764,0.72749,0.42801,1.42034,1.20152,1.40113,0.0011288,0.0011288,0.0011288
24,1901.82,1.27444,1.14117,1.27064,0.79853,0.63333,0.71196,0.41272,1.45198,1.33862,1.39195,0.0010892,0.0010892,0.0010892
25,1981.12,1.30807,1.24126,1.27517,0.77287,0.62899,0.69949,0.42379,1.40506,1.32767,1.40124,0.0010496,0.0010496,0.0010496
26,2059.98,1.25425,1.01731,1.22984,0.80351,0.64438,0.73945,0.45126,1.371,1.14731,1.35396,0.00101,0.00101,0.00101
27,2139.72,1.21298,0.96553,1.19791,0.70334,0.66097,0.72389,0.44565,1.36799,1.20882,1.34379,0.0009704,0.0009704,0.0009704
28,2218.62,1.24436,1.01219,1.23301,0.7503,0.6738,0.74885,0.46436,1.33544,1.13674,1.32929,0.0009308,0.0009308,0.0009308
29,2297.68,1.16876,0.95434,1.19671,0.76355,0.62121,0.72651,0.42665,1.39125,1.29348,1.3824,0.0008912,0.0008912,0.0008912
30,2376.86,1.18654,0.97459,1.19079,0.84572,0.60909,0.75366,0.4573,1.3783,1.10155,1.33768,0.0008516,0.0008516,0.0008516
31,2456.59,1.10292,1.25102,1.14023,0.79356,0.62727,0.73427,0.44721,1.4083,1.13469,1.40922,0.000812,0.000812,0.000812
32,2535.43,1.16004,0.92334,1.17091,0.83023,0.6224,0.75827,0.46994,1.34577,1.18094,1.34544,0.0007724,0.0007724,0.0007724
