epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8103,1.64764,2.58546,1.51399,0.76966,0.13164,0.27642,0.147,1.55755,3.11025,1.3924,0.00058,0.00058,0.00058
2,167.512,1.5531,2.00235,1.43997,0.40957,0.22727,0.20992,0.09884,1.8813,2.99666,1.87953,0.00115664,0.00115664,0.00115664
3,247.475,1.55955,1.92272,1.46133,0.24063,0.23333,0.15624,0.07128,1.86094,3.19098,1.94263,0.00170951,0.00170951,0.00170951
4,329.326,1.59546,1.87836,1.50813,0.51658,0.38182,0.38998,0.18664,1.81805,2.31641,1.8442,0.0018812,0.0018812,0.0018812
5,412.763,1.56889,1.73163,1.46374,0.53047,0.36632,0.36397,0.17622,1.80814,2.50204,1.86597,0.0018416,0.0018416,0.0018416
6,494.843,1.54933,1.64267,1.45204,0.47827,0.48182,0.44406,0.21507,1.79601,2.25529,1.79136,0.001802,0.001802,0.001802
7,574.921,1.49242,1.57563,1.40092,0.56348,0.44545,0.48234,0.23644,1.70474,2.07269,1.66986,0.0017624,0.0017624,0.0017624
8,654.848,1.48714,1.57481,1.38253,0.66564,0.51277,0.58796,0.297,1.62904,2.0331,1.60942,0.0017228,0.0017228,0.0017228
9,734.42,1.4523,1.49214,1.36783,0.60949,0.5697,0.58819,0.31605,1.64066,1.83196,1.61081,0.0016832,0.0016832,0.0016832
10,814.823,1.45401,1.42269,1.37621,0.67472,0.50286,0.58655,0.31438,1.57485,1.63394,1.52304,0.0016436,0.0016436,0.0016436
11,895.046,1.46766,1.40408,1.37743,0.6474,0.53414,0.6026,0.33943,1.53104,1.56489,1.48236,0.001604,0.001604,0.001604
12,974.657,1.42693,1.35502,1.34226,0.69016,0.55152,0.6317,0.34501,1.59066,1.5378,1.55713,0.0015644,0.0015644,0.0015644
13,1061.17,1.40164,1.32605,1.34443,0.69217,0.51785,0.60907,0.31783,1.55394,1.59767,1.50184,0.0015248,0.0015248,0.0015248
14,1150.75,1.37811,1.29298,1.31384,0.62969,0.65442,0.64975,0.35453,1.5126,1.44486,1.46988,0.0014852,0.0014852,0.0014852
15,1230.66,1.35954,1.27816,1.3174,0.66649,0.60909,0.67181,0.38904,1.45105,1.47591,1.47923,0.0014456,0.0014456,0.0014456
16,1310.27,1.32915,1.19449,1.30738,0.69646,0.59697,0.6699,0.38285,1.4417,1.43472,1.44814,0.001406,0.001406,0.001406
